combinations,nombredoccurrence,audienceScoremoyenne,tomatoMetermoyen
"('Romance', 'Romantic')",1120,57.308056872037916,53.31591737545565
"('Drama', 'Romance')",695,59.5314465408805,59.590062111801245
"('Drama', 'Romantic')",557,59.925,58.8661800486618
"('Action', 'Adventure')",526,53.33266533066132,45.58684210526316
"('Black-and-white', 'Short')",487,55.08358208955224,61.983739837398375
"('Comedy-drama', 'Drama')",469,64.25167037861915,63.34010152284264
"('Black-and-white', 'Silent')",413,56.336879432624116,69.05714285714286
"('Drama', 'Indie')",373,61.731988472622476,64.7719298245614
"('Black-and-white', 'Indie')",353,55.74698795180723,69.25287356321839
"('Indie', 'Silent')",351,55.53252032520325,68.48235294117647
"('Short', 'Silent')",346,55.12083333333333,65.96341463414635
"('Indie', 'Short')",310,53.77522935779817,63.21917808219178
"(""Children's"", 'Family')",276,54.648221343873516,50.74698795180723
"('Drama', 'World')",271,66.42616033755274,67.44444444444444
"('Adventure', 'Family')",257,55.99166666666667,54.62566844919786
"('Drama', 'Family')",238,60.626168224299064,58.47260273972603
"('Indie', 'Romance')",232,56.73394495412844,59.138728323699425
"('Comedy-drama', 'Romance')",232,62.736607142857146,60.51813471502591
"('Animation', 'Family')",217,60.90502793296089,66.54782608695652
"('Comedy-drama', 'Romantic')",216,61.038277511961724,59.7
"('Indie', 'Romantic')",211,55.74747474747475,57.55555555555556
"('Action', 'Crime')",210,54.740932642487046,45.077922077922075
"('Musical', 'Romance')",189,59.80379746835443,62.24444444444445
"('Comedy-drama', 'Indie')",187,61.943502824858754,64.72611464968153
"('Crime', 'Drama')",186,59.08641975308642,60.76521739130435
"('Adventure', 'Crime')",184,55.138728323699425,44.50349650349651
"('Black', 'Drama')",181,63.71597633136095,67.40972222222223
"('Family', 'Fantasy')",167,57.52903225806452,58.19469026548673
"('Romance', 'World')",157,63.03597122302158,59.45783132530121
"('Adventure', 'Drama')",154,57.91489361702128,55.98979591836735
"('Crime', 'Thriller')",154,58.65693430656934,54.137614678899084
"('Drama', 'Musical')",153,62.609022556390975,63.81481481481482
"('Black-and-white', 'Romance')",150,61.935483870967744,86.22413793103448
"('Family', 'Short')",145,57.26373626373626,69.04347826086956
"('Romantic', 'World')",139,63.19672131147541,60.653333333333336
"('Musical', 'Romantic')",139,61.739495798319325,63.34722222222222
"('Black', 'Indie')",136,61.282442748091604,62.17272727272727
"('Action', 'Thriller')",135,54.764227642276424,47.31521739130435
"('Adventure', 'Fantasy')",133,57.64,59.707070707070706
"('Drama', 'Film')",129,62.90833333333333,66.6938775510204
"('Action', 'Drama')",128,56.25454545454546,56.291666666666664
"('Adventure', 'Thriller')",128,55.01724137931034,48.40449438202247
"('Black-and-white', 'Drama')",127,58.31481481481482,77.01923076923077
"('Adventure', ""Children's"")",125,57.452991452991455,59.56043956043956
