combinations,nombredoccurrence,audienceScoremoyenne,tomatoMetermoyen
"('Comedy', 'Romantic')",124,58.95867768595041,56.46078431372549
"('Comedy', 'Romance')",124,59.15702479338843,58.52427184466019
"('Coming', 'Drama')",122,68.84210526315789,65.4326923076923
"('Black-and-white', 'Romantic')",121,63.43636363636364,87.0
"('Animation', 'Short')",115,55.779411764705884,73.55882352941177
"('Comedy', 'Drama')",110,63.55140186915888,64.81052631578947
"('Drama', 'Fantasy')",109,59.75,57.821917808219176
"('Family', 'Romance')",109,59.80952380952381,53.475
"('Parody', 'Satire')",108,62.92307692307692,61.87234042553192
"('Black-and-white', 'Slapstick')",108,60.614583333333336,78.48
"('Drama', 'Period')",102,67.18279569892474,64.97590361445783
"('Adventure', 'Parody')",101,57.70103092783505,51.16216216216216
"('Black', 'Crime')",99,62.48351648351648,59.84615384615385
"('Musical', 'World')",99,58.53488372093023,54.95
"('Adventure', 'Animation')",99,64.01086956521739,68.76712328767124
"('Romance', 'Teen')",97,57.54945054945055,44.66265060240964
"('Fantasy', 'Romance')",95,60.02197802197802,54.753246753246756
"('Action', 'Family')",93,52.839080459770116,47.85294117647059
"('Drama', 'Thriller')",92,59.135802469135804,54.59322033898305
"('Bollywood', 'World')",92,57.71604938271605,54.464285714285715
"('Action', 'Parody')",92,54.95505617977528,49.91044776119403
"('Comedy-drama', 'Family')",91,62.75903614457831,59.67142857142857
"('Black-and-white', 'Family')",90,59.121212121212125,64.63333333333334
"('Adventure', 'Romance')",88,55.8780487804878,50.857142857142854
"('Adventure', 'Buddy')",86,56.583333333333336,47.84415584415584
"(""Children's"", 'Fantasy')",86,60.62820512820513,63.98245614035088
"('Animation', ""Children's"")",86,63.46913580246913,66.85714285714286
"('Romantic', 'Teen')",85,57.20253164556962,44.48571428571429
"('Drama', 'LGBT')",83,67.64935064935065,64.10958904109589
"('Mystery', 'Thriller')",83,54.43055555555556,52.80357142857143
"('Adventure', 'Science')",80,53.21917808219178,54.30909090909091
"('Romance', 'Sex')",79,60.09090909090909,51.43478260869565
"('Drama', 'Teen')",79,63.225352112676056,51.815384615384616
"('Bollywood', 'Musical')",79,55.391304347826086,50.56
"('Drama', 'Satire')",78,68.44,72.69117647058823
"('Comedy-drama', 'Coming')",78,67.27272727272727,65.61428571428571
"('Black-and-white', 'Musical')",77,61.19298245614035,81.16666666666667
"('Action', 'Romance')",77,55.791666666666664,53.09615384615385
"('Animation', 'Fantasy')",77,65.82857142857142,71.33333333333333
"('Drama', 'Ensemble')",76,62.666666666666664,63.0
"('Romantic', 'Sex')",76,58.45205479452055,50.0625
"('Black', 'Comedy-drama')",76,65.3108108108108,66.43283582089552
"('Romance', 'Screwball')",75,63.21333333333333,60.89230769230769
"('Fantasy', 'Romantic')",74,59.114285714285714,53.50769230769231
"('Crime', 'Mystery')",74,56.74576271186441,56.325
"('Indie', 'Parody')",74,58.53521126760563,57.13333333333333
"('LGBT', 'Romantic')",73,61.36363636363637,55.36507936507937
"('Family', 'Musical')",73,63.90909090909091,63.044444444444444
"('Black', 'Satire')",73,67.43055555555556,68.08823529411765
"('Coming', 'Romance')",73,64.74285714285715,59.41935483870968
"('LGBT', 'Romance')",72,61.67164179104478,56.703125
"('Black', 'Thriller')",72,61.55555555555556,59.08620689655172
"('Romantic', 'Screwball')",72,62.985915492957744,62.31147540983606
"('Crime', 'Romance')",72,55.84615384615385,56.75
"('Coming', 'Teen')",72,63.5735294117647,57.11864406779661
"('Black', 'Romance')",71,58.11594202898551,61.810344827586206
"('Family', 'Slapstick')",70,51.04347826086956,37.84
"('Action', 'Buddy')",70,55.97014925373134,47.596774193548384
"('Family', 'Family-Oriented')",69,54.84375,52.68181818181818
"('Adventure', 'World')",68,59.28125,61.810810810810814
"('Indie', 'LGBT')",68,61.93939393939394,59.516129032258064
"('Black', 'Romantic')",67,57.707692307692305,62.77777777777778
"('Crime', 'Indie')",67,61.459016393442624,60.08163265306123
"('Adventure', 'Slapstick')",67,53.36363636363637,36.63793103448276
"('Action', 'World')",65,60.693548387096776,61.333333333333336
"('Comedy-drama', 'World')",65,68.74193548387096,72.26190476190476
"('Family', 'Romantic')",63,58.86666666666667,54.422222222222224
"(""Children's"", 'Drama')",63,59.285714285714285,55.21212121212121
"('Action', 'Fantasy')",63,53.08196721311475,49.06818181818182
"('Drama', 'Parody')",62,61.0655737704918,67.27083333333333
"('Family', 'Science')",62,50.0,51.904761904761905
"('Adventure', 'Black')",62,58.285714285714285,56.09803921568628
"('Comedy', 'Comedy-drama')",62,64.2741935483871,67.81818181818181
"('Coming', 'Romantic')",62,63.813559322033896,59.74074074074074
"('Comedy-drama', 'Ensemble')",61,61.08474576271186,59.833333333333336
"('Short', 'Slapstick')",60,55.05882352941177,64.3
"('Drama', 'Sports')",60,56.53448275862069,55.926829268292686
"('Adventure', 'Indie')",60,59.36538461538461,59.39473684210526
"(""Children's"", 'Family-Oriented')",59,57.89090909090909,57.30555555555556
"('Action', 'Comedy')",58,59.09090909090909,48.333333333333336
"('Adventure', 'Comedy')",58,58.872727272727275,47.68888888888889
"('Adventure', 'Romantic')",58,54.888888888888886,48.26086956521739
"('Black', 'Parody')",58,62.719298245614034,65.40384615384616
"('Action', 'Black')",57,57.490196078431374,55.67391304347826
"('Crime', 'World')",57,70.53846153846153,67.54054054054055
"('Comedy', 'Indie')",57,62.07272727272727,66.3529411764706
"('Adventure', 'Musical')",57,63.0,60.729729729729726
"('Domestic', 'Drama')",57,65.14814814814815,65.38775510204081
"('Film', 'Romance')",56,61.60377358490566,64.9375
"('Action', 'Western')",56,57.13461538461539,57.18421052631579
"('Indie', 'Satire')",55,62.46296296296296,61.319148936170215
"('Ensemble', 'Indie')",55,64.73076923076923,67.70833333333333
"('Crime', 'Romantic')",55,55.96,58.214285714285715
"('Indie', 'Slapstick')",55,53.67307692307692,65.14285714285714
"('Coming', 'Indie')",54,65.28846153846153,63.145833333333336
"('Family', 'Teen')",54,55.333333333333336,42.03125
"('Black', 'Horror')",54,59.34615384615385,64.11111111111111
"('Parody', 'Slapstick')",53,60.26,49.36585365853659
"('Adventure', 'Western')",52,56.375,55.114285714285714
"('Comedy', 'Crime')",52,62.520833333333336,58.86486486486486
"('Bollywood', 'Drama')",52,60.395348837209305,57.92307692307692
"('Indie', 'Thriller')",52,56.229166666666664,57.973684210526315
"('Cult', 'Parody')",51,68.22448979591837,69.73170731707317
"('Family', 'Indie')",50,60.59183673469388,64.52272727272727
"('Fantasy', 'Science')",50,58.20454545454545,55.285714285714285
"('Action', 'Science')",50,49.48936170212766,52.69444444444444
"('Adventure', 'Family-Oriented')",49,56.130434782608695,56.05714285714286
"('Black', 'Cult')",49,70.51063829787235,69.43478260869566
"('Romance', 'Thriller')",49,56.43181818181818,55.25806451612903
"('Bollywood', 'Romance')",49,56.69767441860465,44.76923076923077
"('Ensemble', 'Romance')",49,58.361702127659576,59.4390243902439
"('Crime', 'Parody')",48,65.22222222222223,62.21621621621622
"('Drama', 'Sex')",48,60.26086956521739,58.94736842105263
"('Silent', 'Slapstick')",48,58.422222222222224,80.75
"('Comedy-drama', 'Period')",48,69.57446808510639,65.73170731707317
"('Comedy-drama', 'Satire')",47,64.57777777777778,65.05
"('Coming', 'Family')",47,64.55555555555556,60.205882352941174
"('Buddy', 'Crime')",47,60.11363636363637,50.65853658536585
"('Family', 'Sports')",47,55.340425531914896,44.388888888888886
"('Action', 'Indie')",47,51.65853658536585,49.67857142857143
"('Action', 'Romantic')",46,51.84090909090909,45.23529411764706
"('Black-and-white', 'Crime')",46,62.696969696969695,86.05882352941177
"('Horror', 'Parody')",46,52.355555555555554,49.5945945945946
"('Cult', 'Indie')",46,67.52272727272727,73.36842105263158
"('Gay', 'LGBT')",46,63.04651162790697,57.87179487179487
"('Gross', 'Gross-out')",46,55.78260869565217,32.048780487804876
"('Cult', 'Horror')",45,60.285714285714285,67.84375
"('Horror', 'Thriller')",45,53.0,62.96153846153846
"('Drama', 'Political')",45,61.04761904761905,72.51515151515152
"('Buddy', 'Drama')",44,63.75609756097561,61.567567567567565
"('Film', 'Romantic')",44,60.68292682926829,62.78378378378378
"('Domestic', 'Romance')",44,58.7906976744186,55.390243902439025
"('Period', 'Romance')",43,64.36585365853658,62.861111111111114
"('Comedy', 'Thriller')",43,58.65853658536585,57.48571428571429
"('Animal', 'Family')",43,45.125,34.107142857142854
"('Comedy-drama', 'LGBT')",43,65.64285714285714,63.523809523809526
"('Computer', 'Family')",43,61.80487804878049,62.91891891891892
"('Romance', 'Slapstick')",42,55.04761904761905,43.84848484848485
"('Action', 'Slapstick')",42,53.333333333333336,31.763157894736842
"('Romance', 'Satire')",42,65.61904761904762,70.0
"('Black', 'Comedy')",42,61.30769230769231,60.26470588235294
"('Parody', 'Romance')",42,56.34146341463415,57.28947368421053
"('Drama', 'Road')",41,71.35,66.58974358974359
"('Black', 'World')",41,67.56756756756756,69.13793103448276
"('Romantic', 'Satire')",41,65.6829268292683,67.97368421052632
"('Domestic', 'Romantic')",41,56.02564102564103,53.972972972972975
"('Animation', 'Computer')",41,63.325,63.542857142857144
"('Crime', 'Heist')",40,58.578947368421055,48.75
"('Indie', 'World')",40,64.10526315789474,67.8
"('Ensemble', 'Romantic')",40,54.13157894736842,56.03030303030303
"('Action', 'Martial')",40,55.73684210526316,48.63636363636363
"('Comedy-drama', 'Film')",39,66.27027027027027,64.05714285714286
"('Comedy-drama', 'Domestic')",39,62.972972972972975,65.62857142857143
"('Adventure', 'Martial')",39,56.13513513513514,48.63636363636363
"('Black-and-white', 'Screwball')",39,75.53846153846153,90.13793103448276
"(""Children's"", 'Musical')",39,63.08571428571429,64.30434782608695
"('Bollywood', 'Romantic')",39,59.3235294117647,52.90909090909091
"('Drama', 'Mystery')",38,62.3125,63.26086956521739
"('Action', 'Musical')",38,62.861111111111114,55.041666666666664
"('Romance', 'Sports')",38,57.27777777777778,56.310344827586206
"('Period', 'Romantic')",37,64.14285714285714,61.733333333333334
"('Adventure', 'Cult')",37,66.79411764705883,60.516129032258064
"('Comedy-drama', 'Teen')",37,65.44117647058823,56.58064516129032
"('Domestic', 'Family')",37,57.34285714285714,46.09375
"('Parody', 'Thriller')",37,55.628571428571426,51.172413793103445
"('Parody', 'Science')",37,56.1764705882353,59.42307692307692
"('Political', 'Satire')",37,68.78125,72.92857142857143
"('Crime', 'Gangster')",36,55.09090909090909,47.785714285714285
"('Crime', 'Family')",36,57.484848484848484,52.77272727272727
"('Black-and-white', 'Satire')",36,63.42424242424242,87.2
"('Parody', 'Romantic')",36,53.57142857142857,51.68571428571428
"('Comedy-drama', 'Crime')",35,62.17142857142857,66.40625
"('Adventure', 'Comedy-drama')",35,65.0,63.142857142857146
"('Drama', 'Music')",35,68.9090909090909,70.15384615384616
"('Action', ""Children's"")",35,51.15151515151515,46.19230769230769
"('Comedy', 'Satire')",35,67.55882352941177,63.793103448275865
"('Adventure', 'Mystery')",35,56.0,47.2
"('Romantic', 'Slapstick')",34,51.588235294117645,44.333333333333336
"('Indie', 'Sex')",34,51.46875,42.73076923076923
"('Action', 'Animation')",34,63.63333333333333,63.6
"('Adventure', 'Superhero')",34,53.38709677419355,51.95652173913044
"('Action', 'Horror')",34,46.67857142857143,59.44444444444444
"('Action', 'Spy')",34,45.06060606060606,42.285714285714285
"('Parody', 'Political')",34,63.63636363636363,69.6896551724138
"('Adventure', 'Teen')",34,53.5,39.583333333333336
"('Adventure', 'Satire')",33,67.46666666666667,61.666666666666664
"('Action', 'Superhero')",33,52.774193548387096,50.391304347826086
"('Sex', 'Teen')",33,47.625,36.857142857142854
"('Film', 'Indie')",33,61.392857142857146,63.0
"('Satire', 'World')",33,72.85714285714286,78.66666666666667
"('Musical', 'Parody')",33,71.26666666666667,68.60714285714286
"('Drama', 'Silent')",33,63.07692307692308,79.86666666666666
"('Horror', 'Science')",32,58.81481481481482,67.76190476190476
"('Black-and-white', 'Comedy-drama')",32,63.34615384615385,85.92307692307692
"('Black-and-white', 'Comedy')",32,65.88888888888889,86.0
"('Gay', 'Romance')",32,59.7,55.17857142857143
"('Comedy', 'World')",32,68.53125,71.45
"('Adventure', 'Road')",32,60.29032258064516,47.5
"('Thriller', 'World')",32,57.833333333333336,54.77777777777778
"('Drama', 'Japanese')",32,68.42307692307692,72.41176470588235
"('Adventure', 'Black-and-white')",31,51.75,74.625
"('Fantasy', 'Musical')",31,59.888888888888886,56.733333333333334
"('Indie', 'Musical')",31,68.24137931034483,69.83333333333333
"('Gay', 'Romantic')",31,60.32142857142857,55.69230769230769
"('Drama', 'Science')",31,55.82142857142857,56.31818181818182
"('Romantic', 'Sports')",30,56.793103448275865,53.416666666666664
"('Horror', 'Zombie')",30,60.25,70.95238095238095
"('Comedy', 'Western')",30,61.82142857142857,61.8235294117647
"('Cult', 'Satire')",30,72.13793103448276,73.14285714285714
"('LGBT', 'World')",30,65.48148148148148,55.875
"('Comedy', 'Screwball')",30,63.53333333333333,60.04
"('Adventure', 'Computer')",30,63.53333333333333,66.48275862068965
"('Action', 'Heist')",30,60.535714285714285,42.03846153846154
"('Indie', 'Teen')",30,59.62068965517241,56.76
"('Fantasy', 'Indie')",30,58.206896551724135,52.142857142857146
"('Comedy', 'Family')",29,57.689655172413794,51.04761904761905
"('Fantasy', 'Parody')",29,54.629629629629626,48.55
"('Horror', 'Indie')",29,51.3448275862069,60.10526315789474
"('Indie', 'Period')",29,66.84615384615384,64.54166666666667
"('Adventure', 'Spy')",29,45.6551724137931,41.75
"('Black', 'Fantasy')",29,62.06896551724138,59.827586206896555
"('Comedy', 'Parody')",29,61.6551724137931,50.851851851851855
"('Cult', 'Drama')",29,75.72413793103448,76.04
"(""Children's"", 'Teen')",29,57.111111111111114,47.46666666666667
"('Crime', 'Slapstick')",29,55.793103448275865,36.52173913043478
"('Animal', ""Children's"")",29,46.18518518518518,38.63157894736842
"('Domestic', 'Indie')",29,67.81481481481481,77.84615384615384
"('Animation', 'Musical')",29,64.96,72.07142857142857
"('Adventure', 'Horror')",29,53.166666666666664,69.86666666666666
"('Detective', 'Mystery')",28,58.0,48.666666666666664
"('Action', 'Mystery')",28,49.03846153846154,43.22727272727273
"('Fantasy', 'World')",28,63.96,56.833333333333336
"('Black-and-white', 'Parody')",28,66.70833333333333,85.58333333333333
"('Animation', 'Science')",27,62.26923076923077,60.588235294117645
"('Buddy', 'Thriller')",27,54.12,50.68181818181818
"('Comedy', 'Slapstick')",27,51.888888888888886,36.0
"('Musical', 'Satire')",27,66.08695652173913,75.88888888888889
"('Musical', 'Teen')",27,59.4,55.57142857142857
"('Horror', 'Slasher')",27,47.26086956521739,55.06666666666667
"('Caper', 'Crime')",27,59.04,59.05555555555556
"('Adventure', 'Heist')",27,60.30769230769231,40.75
"('Drama', 'War')",27,74.34615384615384,79.23809523809524
"('Action', 'Satire')",26,64.0,59.09090909090909
"('Black', 'Film')",26,68.47826086956522,69.65
"(""Children's"", 'Computer')",26,61.92,66.22727272727273
"('Japanese', 'World')",26,69.80952380952381,69.07142857142857
"('Absurdism', 'Parody')",26,62.34615384615385,52.608695652173914
"('Drama', 'Gay')",26,69.5,71.04347826086956
"('Comedy-drama', 'Road')",26,73.4,69.20833333333333
"('Crime', 'Film')",26,63.666666666666664,71.0
"('Romantic', 'Thriller')",26,52.92,52.8421052631579
"(""Children's"", 'Romance')",26,57.0,45.470588235294116
"('Buddy', 'Comedy-drama')",26,66.6,69.33333333333333
"('Music', 'Musical')",25,68.91304347826087,69.5
"('Family', 'Television')",25,53.12,73.0
"('Chinese', 'World')",25,60.36363636363637,57.4
"('Coming', 'Period')",25,70.52,62.5
"('Fantasy', 'Thriller')",24,46.416666666666664,45.0
"('Action', 'Gangster')",24,51.13636363636363,40.94736842105263
"('Action', 'Sports')",24,56.56521739130435,42.411764705882355
"('Family', 'World')",24,70.5,66.11764705882354
"('Adventure', 'Sports')",24,60.81818181818182,46.0
"('Black', 'Mystery')",23,69.3,67.77777777777777
"('Film', 'Period')",23,58.578947368421055,61.05555555555556
"('Action', 'Chinese')",23,56.76190476190476,58.166666666666664
"('Animation', 'Family-Oriented')",23,66.8695652173913,73.85714285714286
"('Drama', 'Screwball')",23,69.81818181818181,70.04545454545455
"('Art', 'World')",23,74.52173913043478,78.76470588235294
"('Family', 'Parody')",23,62.40909090909091,64.0
"('Romance', 'Science')",23,54.86363636363637,54.73684210526316
"('Action', 'Japanese')",23,63.90909090909091,54.785714285714285
"('Action', 'Cult')",23,62.63636363636363,56.22222222222222
"('Romance', 'Workplace')",23,61.86363636363637,64.1
"('Black', 'LGBT')",23,69.45454545454545,63.0
"('Political', 'World')",22,70.25,74.8
"('Family', 'Thriller')",22,56.523809523809526,48.6
"('Comedy-drama', 'Slice')",22,61.77272727272727,66.66666666666667
"('Art', 'Drama')",22,73.81818181818181,78.76470588235294
"('Drama', 'Horror')",22,62.421052631578945,76.35714285714286
"('Buddy', 'Slapstick')",22,60.45454545454545,37.388888888888886
"('Comedy-drama', 'Parody')",22,67.9090909090909,66.1
"('Buddy', 'Family')",22,53.04761904761905,41.1764705882353
"('Comedy', 'LGBT')",22,67.63636363636364,60.1
"('Drama', 'Workplace')",22,61.95454545454545,65.04761904761905
"('Cult', 'Musical')",22,63.54545454545455,58.904761904761905
"('Action', 'Comedy-drama')",22,57.54545454545455,65.33333333333333
"('Adventure', 'Screwball')",22,51.38095238095238,39.55555555555556
"('Indie', 'Mystery')",22,57.05,60.125
"('Black-and-white', 'Pre-Code')",21,62.526315789473685,83.92307692307692
"('Comedy-drama', 'Musical')",21,68.77777777777777,60.357142857142854
"('Slapstick', 'Sports')",21,61.714285714285715,42.625
"('Comedy-drama', 'Sports')",21,59.42857142857143,55.294117647058826
"('Biography', 'Drama')",21,69.2,76.52941176470588
"('Buddy', 'Road')",21,66.25,54.75
"('Black-and-white', 'Mystery')",21,61.15384615384615,87.4
"('Family-Oriented', 'Fantasy')",21,66.15,68.92857142857143
"('Family', 'Silent')",21,68.6,76.33333333333333
"('Science', 'Thriller')",21,47.55,56.3125
"('Sports', 'Teen')",21,57.4,31.75
"('Comedy-drama', 'Sex')",21,61.80952380952381,68.4375
"('Drama', 'Tragicomedy')",21,58.35,55.473684210526315
"('Adventure', 'Gangster')",21,49.8,41.0
"('Drama', 'Slice')",21,61.904761904761905,68.0
"('Comedy-drama', 'Fantasy')",21,65.71428571428571,66.26315789473684
"('Cult', 'Science')",21,66.6,69.29411764705883
"(""Children's"", 'Science')",21,50.4,50.416666666666664
"('Computer', 'Fantasy')",21,66.38095238095238,69.25
"('Gross-out', 'Slapstick')",20,56.25,27.95
"('Road', 'Romance')",20,57.8421052631579,57.888888888888886
"('Mystery', 'Parody')",20,57.94444444444444,56.13333333333333
"('Film', 'Thriller')",20,67.2,64.78571428571429
"('Comedy-drama', 'Tragicomedy')",20,60.63157894736842,54.166666666666664
"('LGBT', 'Sex')",20,59.8235294117647,53.35294117647059
"('Music', 'Romance')",20,63.6,60.588235294117645
"('Family', 'Mystery')",20,60.25,47.333333333333336
"('Comedy', 'Mystery')",20,62.111111111111114,59.9375
"('Horror', 'World')",20,67.05555555555556,73.92307692307692
"('Crime', 'Detective')",20,56.25,58.3
"('Romantic', 'Workplace')",20,58.36842105263158,58.8235294117647
"('Gross', 'Slapstick')",20,56.25,27.95
"('Crime', 'Satire')",20,66.63157894736842,73.47368421052632
"('Drama', 'Melodrama')",19,70.625,67.2
"('Road', 'Romantic')",19,59.666666666666664,60.22222222222222
"('Mockumentary', 'Parody')",19,61.10526315789474,63.111111111111114
"(""Children's"", 'Sports')",19,49.89473684210526,30.5
"('Horror', 'Satire')",19,55.421052631578945,53.72222222222222
"(""Children's"", 'Slapstick')",19,42.77777777777778,32.142857142857146
"('Romance', 'Silent')",19,68.92307692307692,84.0
"('Adventure', 'Chinese')",19,58.94444444444444,58.166666666666664
"('Comedy-drama', 'Gay')",19,67.94444444444444,64.55555555555556
"('Indie', 'Mockumentary')",19,70.21052631578948,75.05882352941177
"('Adventure', 'Costume')",19,65.42105263157895,61.5
"('Adventure', 'Animal')",19,41.833333333333336,37.92307692307692
"('Animated', 'Family')",19,62.875,56.285714285714285
"('Cult', 'Teen')",19,72.83333333333333,62.375
"('Buddy', 'Indie')",19,62.10526315789474,70.78571428571429
"('Cult', 'Thriller')",19,61.1764705882353,62.285714285714285
"('Romantic', 'Science')",19,53.470588235294116,53.6
"('Drama', 'Western')",19,58.0,71.38461538461539
"('Indie', 'Science')",19,53.35294117647059,57.44444444444444
"('Romantic', 'Silent')",19,59.75,80.85714285714286
"('Drama', 'Slapstick')",19,64.83333333333333,66.93333333333334
"('Satire', 'Thriller')",19,61.333333333333336,59.388888888888886
"('Fantasy', 'Horror')",19,58.666666666666664,58.375
"('Fantasy', 'Slapstick')",19,45.0,41.13333333333333
"('Animated', ""Children's"")",19,62.46666666666667,57.714285714285715
"('Black', 'Domestic')",18,64.41176470588235,67.125
"('Action', 'Road')",18,50.8235294117647,39.0
"('Animated', 'Animation')",18,63.0,56.285714285714285
"('Buddy', 'Cult')",18,76.77777777777777,64.38888888888889
"('Mystery', 'Romance')",18,61.0625,62.25
"('Buddy', 'Comedy')",18,63.666666666666664,50.76470588235294
"('Cult', 'Romance')",18,67.58823529411765,59.125
"('Adventure', 'War')",18,58.125,62.38461538461539
"('Fantasy', 'Satire')",18,68.9375,62.0
"('Comedy-drama', 'Thriller')",18,56.05882352941177,68.42857142857143
"('Buddy', 'Romance')",18,65.0,63.470588235294116
"('Sex', 'World')",18,66.75,71.25
"('Fantasy', 'Superhero')",18,52.266666666666666,49.5
"('Action', 'Family-Oriented')",18,49.06666666666667,41.166666666666664
"('Absurdism', 'Slapstick')",18,58.166666666666664,47.06666666666667
"('Satire', 'Science')",18,65.125,63.69230769230769
"('Buddy', 'Screwball')",18,58.0,41.375
"('Black', 'Political')",18,67.94444444444444,80.92857142857143
"('Drama', 'Gangster')",17,56.285714285714285,64.77777777777777
"('Action', 'Screwball')",17,52.0,33.69230769230769
"('Action', 'Bollywood')",17,61.5625,54.57142857142857
"('Black', 'Family')",17,57.25,57.25
"('Chinese', 'Drama')",17,58.642857142857146,51.2
"('Parody', 'Teen')",17,46.294117647058826,41.92307692307692
"('Buddy', 'Romantic')",17,64.05882352941177,54.0
"('Drama', 'Television')",17,52.285714285714285,60.0
"('Detective', 'Thriller')",17,57.3125,50.0
"('Costume', 'Drama')",17,66.58823529411765,69.84615384615384
"('Black-and-white', 'Fantasy')",17,60.0,75.0
"('Parody', 'Sex')",17,56.76470588235294,50.07692307692308
"('Indie', 'Slice')",17,55.0,59.4375
"(""Children's"", 'Coming')",17,54.4,52.888888888888886
"('Filipino', 'World')",17,62.583333333333336,59.0
"('Indie', 'Road')",17,67.0,68.15384615384616
"('Parody', 'World')",17,62.53333333333333,62.4
"('Film', 'Parody')",17,61.0,66.0
"('B-movie', 'Horror')",17,52.8125,66.55555555555556
"('Gay', 'Indie')",17,62.666666666666664,71.35714285714286
"('Horror', 'Teen')",17,49.294117647058826,45.785714285714285
"('Fantasy', 'Teen')",17,59.5,50.785714285714285
"('Animation', 'Drama')",17,60.666666666666664,75.2
"('Parody', 'Screwball')",17,61.76470588235294,55.4375
"('Black', 'Buddy')",17,64.41176470588235,54.9375
"('Coming', 'World')",16,69.26666666666667,74.54545454545455
"('Black', 'Ensemble')",16,63.357142857142854,61.46153846153846
"('Crime', 'Musical')",16,71.78571428571429,59.8
"('Black-and-white', 'Horror')",16,57.833333333333336,91.2
"('Crime', 'Period')",16,66.57142857142857,58.5
"('Comedy', 'Domestic')",16,57.93333333333333,53.69230769230769
"('Chinese', 'Romance')",16,56.76923076923077,33.75
"('Crime', 'Screwball')",16,65.625,62.142857142857146
"('Romance', 'Slice')",16,56.8125,57.733333333333334
"('Media', 'Parody')",16,58.4375,63.5
"('Adventure', 'Coming')",16,63.214285714285715,54.72727272727273
"('Adventure', 'Film')",16,67.76923076923077,71.6
"('Adventure', 'Period')",16,63.30769230769231,49.0
"('Political', 'Romance')",16,51.875,61.07142857142857
"('Action', 'War')",16,59.714285714285715,60.916666666666664
"('Coming', 'Musical')",16,71.64285714285714,59.54545454545455
"('Family', 'Holiday')",16,49.9375,39.44444444444444
"('Fantasy', 'Time')",16,59.8,53.07692307692308
"('Horror', 'Mystery')",16,53.30769230769231,54.666666666666664
"('Biographical', 'Drama')",16,61.666666666666664,62.0
"('Period', 'World')",16,62.333333333333336,62.666666666666664
"('Indie', 'Sports')",16,64.8125,70.91666666666667
"('Family', 'Film')",15,57.86666666666667,54.46153846153846
"('Family', 'Music')",15,64.42857142857143,55.90909090909091
"('Martial', 'World')",15,59.92857142857143,64.33333333333333
"('Chinese', 'Martial')",15,60.142857142857146,57.8
"('Americana', 'Drama')",15,68.4,66.16666666666667
"('Music', 'Romantic')",15,60.53333333333333,63.714285714285715
"('Black', 'Sex')",15,59.6,61.0
