wikipedia_id,freebase_id,title_x,release_date,box_office_revenue,runtime,languages,countries,genres,id,title_y,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix,Matched_Title,min_date_difference
74293,/m/0jv6b,The Mexican,2001-03-02,66845033.0,123.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/0lsxr': 'Crime Fiction', '/m/0hj3m_x': 'Crime Comedy', '/m/03k9fj': 'Adventure', '/m/04228s': 'Road movie', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/02kdv5l': 'Action'}",mexican,The Mexican,44.0,54.0,R,"['Violence', 'Language']",2001-03-02,2007-06-08,123.0,"Comedy, Drama, Adventure",English,Gore Verbinski,J.H. Wyman,$66.8M,DreamWorks SKG,"Dolby SR, DTS, SDDS, Surround, Dolby A, Dolby Digital",The Mexican,0.0
76016,/m/0k2s6,Poor Little Rich Girl,1917-03-05,,65.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01t_vv': 'Comedy-drama', '/m/01g6gs': 'Black-and-white', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",1016523-poor_little_rich_girl,The Poor Little Rich Girl,74.0,,,,1917-03-05,,65.0,"Comedy, Drama",,Maurice Tourneur,Frances Marion,,,,Poor Little Rich Girl,0.0
76313,/m/0k42n,Safety Last!,1923-04-01,,73.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/01jfsb': 'Thriller', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01g6gs': 'Black-and-white', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/09q17': 'Slapstick', '/m/0hqxf': 'Family Film', '/m/03k9fj': 'Adventure'}",safety_last,Safety Last,93.0,97.0,,,1923-04-01,2007-06-05,74.0,Comedy,,"Fred Newmeyer,Sam Taylor","Sam Taylor,H. M. Walker,Hal Roach,Tim Whelan",,"Pathé Exchange Inc., Continental Home Vídeo [br]",,Safety Last!,0.0
88075,/m/0m313,Shakespeare in Love,1998-12-03,289317794.0,137.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{'/m/06cvj': 'Romantic comedy', '/m/04xvh5': 'Costume drama', '/m/01t_vv': 'Comedy-drama', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",shakespeare_in_love,Shakespeare in Love,80.0,92.0,R,['Sexuality'],1998-12-25,1999-12-07,122.0,"Romance, Comedy",English,John Madden,"Tom Stoppard,Marc Norman",$100.2M,Miramax Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Shakespeare in Love,22.0
98991,/m/0p9lw,Dogma,1999-05-21,30652890.0,130.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0gf28': 'Parody', '/m/0219x_': 'Indie', '/m/04228s': 'Road movie', '/m/01q03': 'Cult', '/m/06nbt': 'Satire', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/02djzlc': 'Religious Film', '/m/03k9fj': 'Adventure'}",dogma,Dogma,85.0,67.0,R,"['Some Drug Content', 'Sex-Related Dialogue', 'Crude Humor', 'Strong Language', 'Violence']",1999-11-12,2002-12-17,135.0,Comedy,English,Kevin Smith,Kevin Smith,$30.7M,Lionsgate Films,"Dolby SR, Dolby Digital",Dogma,175.0
101813,/m/0ptdz,The Family Man,2000-12-12,124745083.0,124.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/01t_vv': 'Comedy-drama', '/m/0bwgnb': 'Christmas movie', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/07s9rl0': 'Drama', '/m/068d7h': 'Romantic drama', '/m/07s2s': 'Time travel', '/m/02l7c8': 'Romance Film'}",family_man,The Family Man,67.0,53.0,PG-13,"['Strong Language', 'Sensuality']",2000-12-22,2001-07-17,125.0,"Romance, Comedy",English,Brett Ratner,"David Diamond,David Weissman",$75.8M,"MCA/Universal Pictures [us], Universal Pictures","Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",The Family Man,10.0
101907,/m/0ptx5,A Touch of Class,1973-06-20,16800000.0,106.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/07ssc"": ""United Kingdom""}","{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",touch_of_class,A Touch of Class,65.0,85.0,,,1973-06-20,2009-05-19,105.0,"Romance, Comedy",English,Melvin Frank,,,AVCO Embassy Pictures,,A Touch of Class,0.0
103088,/m/0q05k,Dead Men Don't Wear Plaid,1982-05-21,18196170.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0gf28': 'Parody', '/m/028v3': 'Detective fiction', '/m/0vjs6': 'Detective', '/m/01g6gs': 'Black-and-white', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/02kdv5l': 'Action', '/m/02xh1': 'Film noir'}",dead_men_dont_wear_plaid,Dead Men Don't Wear Plaid,72.0,77.0,,,,2005-08-23,89.0,Comedy,English,Carl Reiner,,,,Stereo,Dead Men Don't Wear Plaid,8495.0
105872,/m/0qjzd,Clueless,1995-07-19,56631572.0,97.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/0hn10': 'LGBT', '/m/03p5xs': 'Comedy of manners', '/m/01j1n2': 'Coming of age', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/02b5_l': 'Teen'}",clueless,Clueless,76.0,81.0,,,1995-07-19,2004-09-21,97.0,Comedy,English,Amy Heckerling,Amy Heckerling,$56.2M,Paramount Pictures,"Surround, Stereo",Clueless,0.0
105972,/m/0qkl7,Death Becomes Her,1992-07-31,149022650.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/03npn': 'Horror', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/0hj3n2s': 'Fantasy Comedy', '/m/09q17': 'Slapstick'}",death_becomes_her,Death Becomes Her,61.0,55.0,,,1992-07-31,2007-03-13,103.0,"Comedy, Fantasy",English,Robert Zemeckis,"Martin Donovan,David Koepp",$58.4M,Universal Pictures,"Surround, Stereo",Death Becomes Her,0.0
129444,/m/0yyts,Driving Miss Daisy,1989-12-13,145793296.0,99.0,"{""/m/03hkp"": ""Hebrew Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0556j8': 'Buddy film', '/m/01t_vv': 'Comedy-drama', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/060__y': 'Film adaptation'}",driving_miss_daisy,Driving Miss Daisy,81.0,84.0,,,1989-12-13,2005-03-01,99.0,"Comedy, Drama",English,Bruce Beresford,Alfred Uhry,$105.6M,Warner Bros. Pictures,"Surround, Stereo",Driving Miss Daisy,0.0
142588,/m/011zms,Dead Alive,1993-02-12,1870578.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0ctw_b"": ""New Zealand""}","{'/m/03npn': 'Horror', '/m/06qln': 'Stop motion', '/m/0hj3m_q': 'Creature Film', '/m/01z4y': 'Comedy', '/m/02vn3k': 'Splatter film', '/m/0jb4p32': 'Zombie Film', '/m/0vgkd': 'Black comedy', '/m/0hj3n7f': 'Horror Comedy'}",dead_alive,Dead Alive,87.0,89.0,,,1993-02-12,1998-09-08,101.0,"Horror, Comedy",English,Peter Jackson,"Stephen Sinclair,Fran Walsh,Peter Jackson",$70.5K,Trimark Pictures,,Dead Alive,0.0
143814,/m/0125z1,Fools Rush In,1997-02-14,29481428.0,109.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",fools_rush_in,Fools Rush In,64.0,34.0,,,1997-02-14,2002-12-03,108.0,"Comedy, Drama",English,Andy Tennant,"Joan Taylor,Katherine Reback",$29.3M,"Columbia TriStar Home Video, Sony Pictures Entertainment, Columbia Pictures","Surround, SDDS",Fools Rush In,0.0
160047,/m/025rxjq,High Fidelity,2000-03-17,47126295.0,113.0,"{""/m/02h40lc"": ""English Language"", ""/m/0295r"": ""Danish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{'/m/06cvj': 'Romantic comedy', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/060__y': 'Film adaptation', '/m/04rlf': 'Music', '/m/02l7c8': 'Romance Film'}",1095420-high_fidelity,High Fidelity,90.0,91.0,R,"['Some Sexuality', 'Language']",2000-03-31,2003-04-08,113.0,"Romance, Comedy",English,Stephen Frears,"Nick Hornby,D.V. DeVincentis,Steve Pink,John Cusack,Scott Rosenberg",$27.3M,Touchstone Pictures,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",High Fidelity,14.0
161874,/m/015gk7,"Divorce, Italian Style",1962-09-17,,104.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/03rjj"": ""Italy""}","{'/m/03q4nz': 'World cinema', '/m/06nbt': 'Satire', '/m/01z4y': 'Comedy', '/m/01g6gs': 'Black-and-white', '/m/0hj3n0k': 'Domestic Comedy'}",divorce_italian_style,"Divorce, Italian Style",93.0,100.0,,,1962-09-17,2005-04-26,104.0,Comedy,Italian,Pietro Germi,,,Embassy Pictures,,"Divorce, Italian Style",0.0
161924,/m/015h0t,Kotch,1971-09-17,,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0219x_': 'Indie', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/060__y': 'Film adaptation'}",kotch,Kotch,67.0,75.0,,,1971-09-17,2006-08-01,118.0,"Comedy, Drama",English,Jack Lemmon,,,Cinerama Releasing Corporation [us],,Kotch,0.0
161974,/m/015h8w,A Shock to the System,1990-03-23,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/01jfsb': 'Thriller', '/m/01t_vv': 'Comedy-drama', '/m/0hj3mzb': 'Comedy Thriller', '/m/06nbt': 'Satire', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/02wtdps': 'Crime Thriller'}",1018862-shock_to_the_system,A Shock to the System,61.0,67.0,,,,2004-05-25,91.0,"Mystery & thriller, Comedy",English,Jan Egleson,Andrew Klavan,$2.0M,,Surround,A Shock to the System,5177.0
164376,/m/015whm,Being There,1979-12-19,30177511.0,130.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0gf28': 'Parody', '/m/01t_vv': 'Comedy-drama', '/m/05mrx8': 'Political satire', '/m/06nbt': 'Satire', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/0cshrf': 'Political cinema', '/m/03pgfj': 'New Hollywood'}",being_there,Being There,92.0,95.0,,,1979-12-19,2002-02-05,130.0,Comedy,English,Hal Ashby,Jerzy Kosinski,,"United Artists, Warner Bros.",Mono,Being There,0.0
164502,/m/015x74,The Adventures of Baron Munchausen,1988-12-08,8083123.0,127.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{'/m/0hj3n2s': 'Fantasy Comedy', '/m/0hj3n2k': 'Fantasy Adventure', '/m/03k9fj': 'Adventure', '/m/04xvh5': 'Costume drama', '/m/0hj3m_6': 'Costume Adventure', '/m/03btsm8': 'Action/Adventure', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/01hmnh': 'Fantasy', '/m/0hqxf': 'Family Film', '/m/02kdv5l': 'Action', '/m/06www': 'Steampunk'}",munchhausen,The Adventures of Baron Munchausen,76.0,,,,,2017-05-22,119.0,"Adventure, Fantasy, Comedy",German,Josef von Báky,Erich Kästner,,,,The Adventures of Baron Munchausen,10392.0
165794,/m/01633c,In & Out,1997-09-10,63856929.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0hn10': 'LGBT', '/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",in_and_out,In & Out,52.0,73.0,,,1997-09-19,2013-09-24,90.0,"Comedy, Lgbtq+",English,Frank Oz,Paul Rudnick,$63.9M,Paramount Pictures,"Surround, DTS, Dolby Digital",In & Out,9.0
171939,/m/01738w,Small Soldiers,1998-07-10,54682547.0,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/03k9fj': 'Adventure', '/m/0hj3l_y': 'Action Comedy', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film', '/m/0hj3n2s': 'Fantasy Comedy'}",small_soldiers,Small Soldiers,45.0,48.0,,,1998-07-10,2012-05-15,110.0,"Comedy, Action, Fantasy",English,Joe Dante,"Gavin Scott,Adam Rifkin,Ted Elliott,Terry Rossio",$55.1M,"DreamWorks SKG, 20th Century Fox","SDDS, DTS, Surround, Dolby Digital",Small Soldiers,0.0
179326,/m/018gq3,101 Dalmatians,1996-11-18,320689294.0,103.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/03k9fj': 'Adventure', '/m/0jdm8': 'Remake', '/m/0bj8m2': ""Children's"", '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film'}",1074108-101_dalmatians,101 Dalmatians,40.0,41.0,,,1996-11-27,2016-01-04,103.0,"Kids & family, Comedy, Adventure",English,Stephen Herek,"Dodie Smith,John Hughes",$136.2M,Walt Disney Pictures,"Dolby SR, Dolby Digital, Surround",101 Dalmatians,9.0
183358,/m/01915h,SLC Punk!,1998-09-24,24299569.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/04rlf': 'Music', '/m/07s9rl0': 'Drama', '/m/0219x_': 'Indie', '/m/01z4y': 'Comedy'}",slc_punk,SLC Punk,89.0,61.0,,,1999-04-23,2003-10-21,97.0,"Comedy, Drama",English,James Merendino,James Merendino,$299.2K,Sony Pictures Classics,Surround,SLC Punk!,211.0
193874,/m/01bjf8,Never on Sunday,1960-10-01,,93.0,"{""/m/0349s"": ""Greek Language"", ""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/035qy"": ""Greece""}","{'/m/06cvj': 'Romantic comedy', '/m/03q4nz': 'World cinema', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",1014832-never_on_sunday,Never on Sunday,83.0,67.0,,,1960-10-01,2016-09-01,91.0,Comedy,English,Jules Dassin,,,"Lopert Pictures Corp., MGM Home Entertainment",,Never on Sunday,0.0
194693,/m/025s1wg,Spy Kids 3-D: Game Over,2003-07-13,197011982.0,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06n90': 'Science Fiction', '/m/0hqxf': 'Family Film', '/m/02kdv5l': 'Action', '/m/03k9fj': 'Adventure', '/m/01z4y': 'Comedy'}",spy_kids_3d_game_over,Spy Kids 3: Game Over,25.0,45.0,PG,"['Peril', 'Action Sequences']",2003-07-23,2004-02-24,89.0,"Kids & family, Adventure, Action, Fantasy, Comedy",English,Robert Rodriguez,Robert Rodriguez,$111.8M,,Surround,Spy Kids 3-D: Game Over,10.0
210219,/m/01dvnl,Irma la Douce,1963-06-05,,147.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/0gsy3b': 'Sex comedy', '/m/03p5xs': 'Comedy of manners', '/m/01z4y': 'Comedy'}",irma_la_douce,Irma La Douce,79.0,76.0,,,1963-06-05,2016-12-26,147.0,Comedy,English,Billy Wilder,,,"United Artists, MGM/UA Home Entertainment Inc., Metro-Goldwyn-Mayer Distributing Corp.",,Irma la Douce,0.0
212671,/m/01f50k,So I Married an Axe Murderer,1993-07-30,11585483.0,93.0,"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/0hj3m_x': 'Crime Comedy', '/m/01q03': 'Cult', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/0hj3mz5': 'Comedy of Errors'}",so_i_married_an_axe_murderer,So I Married an Axe Murderer,68.0,53.0,,,1993-07-30,2004-12-07,93.0,Comedy,English,Thomas Schlamme,Robbie Fox,$9.0M,"Columbia Home Video, TriStar Pictures",Surround,So I Married an Axe Murderer,0.0
215873,/m/01flv_,Catch Me If You Can,2002-12-16,352114312.0,141.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{'/m/0lsxr': 'Crime Fiction', '/m/017fp': 'Biography', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",catch_me_if_you_can,Catch Me if You Can,89.0,96.0,PG-13,"['Some Sexual Content', 'Brief Language']",2002-12-25,2003-05-06,140.0,"Comedy, Drama, Crime",English,Steven Spielberg,"Jeff Nathanson,Frank Abagnale Jr.,Stan Redding",$164.4M,DreamWorks SKG,Surround,Catch Me If You Can,9.0
219040,/m/01g0w1,Bedtime for Bonzo,1951-04-05,1225000.0,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0hj3mtj': 'Animal Picture', '/m/01z4y': 'Comedy', '/m/09q17': 'Slapstick'}",bedtime_for_bonzo,Bedtime for Bonzo,38.0,67.0,,,1951-04-05,2005-05-31,83.0,Comedy,English,Frederick De Cordova,,,Universal Pictures,,Bedtime for Bonzo,0.0
226664,/m/01h18v,About Schmidt,2002-05-22,105834556.0,120.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0219x_': 'Indie', '/m/03p5xs': 'Comedy of manners', '/m/01t_vv': 'Comedy-drama', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/0q9mp': 'Tragicomedy'}",about_schmidt,About Schmidt,74.0,86.0,R,"['Some Language', 'Brief Nudity']",2002-12-20,2003-06-03,124.0,"Comedy, Drama",English,Alexander Payne,"Alexander Payne,Jim Taylor",$65.0M,New Line Cinema,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",About Schmidt,212.0
240907,/m/01jz08,Daddy Day Care,2003-05-04,164433867.0,92.0,"{""/m/049ph"": ""Klingon language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0hj3nyp': 'Workplace Comedy', '/m/0bj8m2': ""Children's"", '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film', '/m/0hj3n0k': 'Domestic Comedy', '/m/09q17': 'Slapstick'}",daddy_day_care,Daddy Day Care,48.0,27.0,PG,['Language'],2003-05-09,2005-05-24,92.0,"Kids & family, Comedy",English,Steve Carr,Geoff Rodkey,$104.1M,Columbia Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Daddy Day Care,5.0
