wikipedia_id,freebase_id,title_x,release_date,box_office_revenue,runtime,languages,countries,genres,id,title_y,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix,Matched_Title,min_date_difference
11223,/m/02_kd,Four Weddings and a Funeral,1994-03-09,245700832.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy', '/m/0clz1b': 'Slice of life story'}",four_weddings_and_a_funeral,Four Weddings and a Funeral,74.0,96.0,,,1994-03-09,2000-12-19,116.0,"Romance, Comedy",English,Mike Newell,Richard Curtis,$49.3M,"MGM/UA Home Entertainment Inc., Gramercy Pictures","Dolby, Surround, Stereo",Four Weddings and a Funeral,0.0
13149,/m/03fts,Galaxy Quest,1999-12-23,90683916.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/03k9fj': 'Adventure', '/m/01z4y': 'Comedy'}",galaxy_quest,Galaxy Quest,79.0,90.0,PG,['Sensuality'],1999-12-25,2009-05-12,104.0,"Comedy, Sci-fi, Adventure, Action",English,Dean Parisot,"David Howard,David Howard,Robert Gordon",$71.4M,DreamWorks SKG,"Surround, Dolby Digital, DTS, SDDS",Galaxy Quest,2.0
25491,/m/06cgf,The Rocky Horror Picture Show,1975-08-14,175000000.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{'/m/0gf28': 'Parody', '/m/0gsy3b': 'Sex comedy', '/m/03npn': 'Horror', '/m/06n90': 'Science Fiction', '/m/01q03': 'Cult', '/m/04t36': 'Musical', '/m/01z4y': 'Comedy', '/m/0hj3n7f': 'Horror Comedy'}",rocky_horror_picture_show,The Rocky Horror Picture Show,85.0,79.0,,,1975-09-29,2004-09-07,95.0,"Musical, Comedy",English,Jim Sharman,"Richard O'Brien,Richard O'Brien,Jim Sharman",$519.0K,20th Century Fox,"Dolby Stereo, Mono",The Rocky Horror Picture Show,46.0
29942,/m/07cdz,The Graduate,1967-12-21,104901839.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/02l7c8': 'Romance Film', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",graduate,The Graduate,90.0,86.0,,,1967-12-21,1999-12-07,105.0,"Comedy, Drama",English,Mike Nichols,"Charles Webb,Calder Willingham,Buck Henry",$285.8K,,Stereo,The Graduate,0.0
31079,/m/07n08,The Wedding Planner,2001-01-26,94728529.0,103.0,"{""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{'/m/06cvj': 'Romantic comedy', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",wedding_planner,The Wedding Planner,59.0,17.0,PG-13,"['Some Sexual Humor', 'Language']",2001-01-26,2002-02-05,102.0,"Romance, Comedy",English,Adam Shankman,"Pamela Falk,Michael Ellis",$60.4M,"Columbia Pictures, Palace Films, Pacifica Film Distribution, Intermedia Films","Dolby Stereo, Dolby A, SDDS, Surround, Dolby Digital, Dolby SR",The Wedding Planner,0.0
31153,/m/07nn0,The Princess Bride,1987-09-18,30857814.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/03k9fj': 'Adventure', '/m/0hj3myq': ""Children's/Family"", '/m/0bxg3': 'Fairy tale', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/0hj3msd': 'Adventure Comedy', '/m/02l7c8': 'Romance Film', '/m/02kdv5l': 'Action', '/m/0hqxf': 'Family Film'}",princess_bride,The Princess Bride,94.0,97.0,,,1987-10-01,2000-07-18,98.0,"Kids & family, Adventure, Comedy",English,Rob Reiner,William Goldman,$26.9M,20th Century Fox,"Surround, Dolby Stereo",The Princess Bride,13.0
50486,/m/0dbwm,French Kiss,1995-05-05,101982854.0,115.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",french_kiss,French Kiss,75.0,48.0,,,1995-05-05,2000-01-18,111.0,"Romance, Comedy",English,Lawrence Kasdan,Adam Brooks,$36.4M,20th Century Fox,Surround,French Kiss,0.0
54540,/m/0f7hw,Coming to America,1988-06-29,288752301.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/03p5xs': 'Comedy of manners', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/0hj3mz5': 'Comedy of Errors'}",coming_to_america,Coming to America,85.0,73.0,,,1988-06-29,2007-06-05,116.0,Comedy,English,John Landis,"David Sheffield,Barry W. Blaustein",$128.1M,Paramount Pictures,Surround,Coming to America,0.0
61170,/m/0gln_,Here Comes the Navy,1934-07-21,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/0556j8': 'Buddy film', '/m/03k9fj': 'Adventure', '/m/01g6gs': 'Black-and-white', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film'}",here-comes-the-navy,Here Comes the Navy,38.0,80.0,,,1934-07-21,2014-02-25,86.0,"Comedy, Drama",English,Lloyd Bacon,,,Warner Bros. Pictures,,Here Comes the Navy,0.0
66870,/m/0hmr4,Annie Hall,1977-04-20,38251425.0,94.0,"{""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{'/m/06cvj': 'Romantic comedy', '/m/03p5xs': 'Comedy of manners', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/03pgfj': 'New Hollywood'}",annie_hall,Annie Hall,92.0,97.0,,,1977-01-01,2000-07-05,93.0,"Romance, Comedy",English,Woody Allen,"Woody Allen,Marshall Brickman",,United Artists,Mono,Annie Hall,109.0
